application_id,candidate_id,resume_id,vacancy_title,platform,status_norm,y_interview,application_date,resume_domain,similarity_resume_vacancy
app_0000,cand_06,R1,Unity Developer (Middle),HH,screening,1,2024-05-20,gamedev,0.472
app_0001,cand_02,R1,Unity Developer (Hypercasual / LiveOps),HH,screening,1,2024-10-06,gamedev,0.393
app_0002,cand_04,R1,Unity Developer (Middle),HH,screening,1,2024-04-21,gamedev,0.466
app_0003,cand_05,R1,Unity Developer (Middle),HH,test,1,2024-11-28,gamedev,0.701
app_0004,cand_04,R1,Unity Developer (Senior),LinkedIn,interview,1,2024-05-22,gamedev,0.755
app_0005,cand_01,R1,Unity Developer (Senior),LinkedIn,test,1,2024-06-23,gamedev,0.489
app_0006,cand_02,R1,Senior Unity Developer (Mobile F2P),HH,screening,1,2024-07-13,gamedev,0.398
app_0007,cand_03,R1,Unity Developer (Multiplayer / Photon),LinkedIn,screening,1,2024-01-23,gamedev,0.715
app_0008,cand_05,R1,Unity Developer (Middle),HH,ignore,0,2024-07-12,gamedev,0.389
app_0009,cand_03,R1,Unity Developer (Hypercasual / LiveOps),HH,test,1,2024-07-04,gamedev,0.639
app_0010,cand_06,R1,Unity Developer (Middle),HH,screening,1,2024-04-26,gamedev,0.737
app_0011,cand_01,R1,Unity Developer (Senior),LinkedIn,reject,0,2024-07-13,gamedev,0.489
app_0012,cand_06,R1,Senior Unity Developer (Mobile F2P),HH,reject,0,2024-06-30,gamedev,0.455
app_0013,cand_03,R1,Unity Developer (Hypercasual / LiveOps),HH,ignore,0,2024-11-27,gamedev,0.386
app_0014,cand_06,R1,Unity Developer (Senior),LinkedIn,ignore,0,2024-05-05,gamedev,0.432
app_0015,cand_04,R1,Senior Unity Developer (Mobile F2P),HH,ignore,0,2024-11-23,gamedev,0.694
app_0016,cand_02,R1,Unity Developer (Hypercasual / LiveOps),HH,interview,1,2024-01-29,gamedev,0.465
app_0017,cand_01,R1,Senior Unity Developer (Mobile F2P),HH,interview,1,2024-02-03,gamedev,0.455
app_0018,cand_05,R1,Unity Developer (Hypercasual / LiveOps),HH,interview,1,2024-12-01,gamedev,0.6
app_0019,cand_06,R1,Unity Developer (WebGL),InGameJob,screening,1,2024-03-12,gamedev,0.473
app_0020,cand_05,R1,Unity Developer (Multiplayer / Photon),LinkedIn,reject,0,2024-10-26,gamedev,0.564
app_0021,cand_05,R1,Unity Developer (WebGL),InGameJob,interview,1,2024-03-11,gamedev,0.605
app_0022,cand_01,R1,Unity Developer (Middle),HH,reject,0,2024-03-19,gamedev,0.664
app_0023,cand_06,R1,Unity Developer (WebGL),InGameJob,test,1,2024-07-16,gamedev,0.541
app_0024,cand_04,R1,Unity Developer (Multiplayer / Photon),LinkedIn,screening,1,2024-10-10,gamedev,0.78
app_0025,cand_01,R1,Unity Developer (Hypercasual / LiveOps),HH,offer,1,2024-12-15,gamedev,0.792
app_0026,cand_03,R1,Unity Developer (Hypercasual / LiveOps),HH,interview,1,2024-05-30,gamedev,0.567
app_0027,cand_04,R1,Unity Developer (Middle),HH,ignore,0,2024-05-14,gamedev,0.836
app_0028,cand_02,R1,Unity Developer (Multiplayer / Photon),LinkedIn,ignore,0,2024-11-16,gamedev,0.499
app_0029,cand_06,R1,Unity Developer (Multiplayer / Photon),LinkedIn,ignore,0,2024-03-19,gamedev,0.537
app_0030,cand_02,R1,Unity Developer (Multiplayer / Photon),LinkedIn,ignore,0,2024-09-28,gamedev,0.809
app_0031,cand_05,R1,Senior Unity Developer (Mobile F2P),HH,ignore,0,2024-02-27,gamedev,0.815
app_0032,cand_03,R1,Unity Developer (Senior),LinkedIn,screening,1,2024-10-17,gamedev,0.823
app_0033,cand_01,R1,Unity Developer (Hypercasual / LiveOps),HH,interview,1,2024-02-05,gamedev,0.839
app_0034,cand_05,R1,Unity Developer (Senior),LinkedIn,reject,0,2024-08-31,gamedev,0.823
app_0035,cand_02,R1,Senior Unity Developer (Mobile F2P),HH,interview,1,2024-11-06,gamedev,0.562
app_0036,cand_02,R1,Unity Developer (Multiplayer / Photon),LinkedIn,reject,0,2024-12-19,gamedev,0.451
app_0037,cand_03,R1,Unity Developer (WebGL),InGameJob,ignore,0,2024-11-28,gamedev,0.537
app_0038,cand_05,R1,Unity Developer (WebGL),InGameJob,screening,1,2024-04-25,gamedev,0.382
app_0039,cand_01,R1,Unity Developer (Multiplayer / Photon),LinkedIn,test,1,2024-10-28,gamedev,0.46
app_0040,cand_01,R1,Unity Developer (Hypercasual / LiveOps),HH,test,1,2024-04-27,gamedev,0.384
app_0041,cand_01,R1,Senior Unity Developer (Mobile F2P),HH,screening,1,2024-05-01,gamedev,0.489
app_0042,cand_04,R1,Unity Developer (Senior),LinkedIn,interview,1,2024-10-19,gamedev,0.638
app_0043,cand_02,R1,Unity Developer (WebGL),InGameJob,reject,0,2024-04-07,gamedev,0.397
app_0044,cand_06,R1,Unity Developer (WebGL),InGameJob,interview,1,2024-07-29,gamedev,0.584
app_0045,cand_06,R1,Unity Developer (Middle),HH,test,1,2024-11-26,gamedev,0.399
app_0046,cand_04,R1,Unity Developer (Hypercasual / LiveOps),HH,interview,1,2024-02-25,gamedev,0.474
app_0047,cand_02,R1,Unity Developer (Multiplayer / Photon),LinkedIn,interview,1,2024-08-04,gamedev,0.442
app_0048,cand_04,R1,Unity Developer (Senior),LinkedIn,reject,0,2024-02-08,gamedev,0.572
app_0049,cand_05,R1,Unity Developer (Middle),HH,screening,1,2024-10-03,gamedev,0.768
app_0050,cand_01,R1,Unity Developer (Senior),LinkedIn,screening,1,2024-09-05,gamedev,0.591
app_0051,cand_04,R1,Unity Developer (Middle),HH,screening,1,2024-01-02,gamedev,0.843
app_0052,cand_03,R1,Unity Developer (WebGL),InGameJob,screening,1,2024-12-22,gamedev,0.829
app_0053,cand_05,R1,Unity Developer (Hypercasual / LiveOps),HH,offer,1,2024-03-20,gamedev,0.445
app_0054,cand_02,R1,Unity Developer (Middle),HH,test,1,2024-10-04,gamedev,0.38
app_0055,cand_03,R1,Unity Developer (Middle),HH,screening,1,2024-09-01,gamedev,0.601
app_0056,cand_05,R1,Unity Developer (Senior),LinkedIn,reject,0,2024-09-17,gamedev,0.39
app_0057,cand_02,R1,Unity Developer (Middle),HH,test,1,2024-12-11,gamedev,0.781
app_0058,cand_04,R1,Unity Developer (Middle),HH,ignore,0,2024-10-18,gamedev,0.473
app_0059,cand_05,R1,Unity Developer (Middle),HH,test,1,2024-08-02,gamedev,0.679
app_0060,cand_05,R1,Unity Developer (Multiplayer / Photon),LinkedIn,reject,0,2024-05-13,gamedev,0.452
