application_id,candidate_id,resume_id,vacancy_title,platform,status_norm,y_interview,application_date,resume_domain,similarity_resume_vacancy,apply_month,apply_dow
app2_00000,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-11-26,gamedev,0.699,11,1
app2_00001,cand_02,R1,Unity Developer (WebGL) - Casual Games,InGameJob,interview,1,2024-12-12,gamedev,0.72,12,3
app2_00002,cand_01,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-07-02,gamedev,0.402,7,1
app2_00003,cand_01,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-07-27,gamedev,0.446,7,5
app2_00004,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-03-30,gamedev,0.752,3,5
app2_00005,cand_04,R1,Unity Developer (WebGL) - Casual Games,InGameJob,interview,1,2024-08-04,gamedev,0.5,8,6
app2_00006,cand_02,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-12-20,gamedev,0.564,12,4
app2_00007,cand_02,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-11-22,gamedev,0.493,11,4
app2_00008,cand_06,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-04-03,gamedev,0.265,4,2
app2_00009,cand_03,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-07-29,gamedev,0.514,7,0
app2_00010,cand_06,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-09-07,gamedev,0.579,9,5
app2_00011,cand_06,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-04-05,gamedev,0.547,4,4
app2_00012,cand_05,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-05-26,gamedev,0.515,5,6
app2_00013,cand_04,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-02-21,gamedev,0.537,2,2
app2_00014,cand_04,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-03-09,gamedev,0.759,3,5
app2_00015,cand_04,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-12-30,gamedev,0.427,12,0
app2_00016,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-01-07,gamedev,0.554,1,6
app2_00017,cand_05,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-12-12,gamedev,0.318,12,3
app2_00018,cand_05,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-03-03,gamedev,0.331,3,6
app2_00019,cand_02,R1,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-09-21,gamedev,0.543,9,5
app2_00020,cand_06,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-07-16,gamedev,0.19,7,1
app2_00021,cand_01,R1,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-03-26,gamedev,0.412,3,1
app2_00022,cand_01,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-08-24,gamedev,0.452,8,5
app2_00023,cand_06,R1,Unity Developer - Hypercasual / LiveOps,HH,ignore,0,2024-06-10,gamedev,0.643,6,0
app2_00024,cand_06,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-04-17,gamedev,0.645,4,2
app2_00025,cand_06,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-07-16,gamedev,0.314,7,1
app2_00026,cand_04,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-10-05,gamedev,0.425,10,5
app2_00027,cand_01,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-05-06,gamedev,0.406,5,0
app2_00028,cand_02,R1,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-06-04,gamedev,0.738,6,1
app2_00029,cand_02,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-07-28,gamedev,0.741,7,6
app2_00030,cand_06,R1,Unity Developer (Middle) - Mobile F2P,HH,ignore,0,2024-06-19,gamedev,0.616,6,2
app2_00031,cand_05,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-02-03,gamedev,0.252,2,5
app2_00032,cand_01,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-11-26,gamedev,0.496,11,1
app2_00033,cand_06,R1,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-06-17,gamedev,0.306,6,0
app2_00034,cand_04,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-09-19,gamedev,0.756,9,3
app2_00035,cand_01,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-09-01,gamedev,0.479,9,6
app2_00036,cand_04,R1,Senior Unity Developer - Architecture / Tools,HH,ignore,0,2024-01-02,gamedev,0.465,1,1
app2_00037,cand_05,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-07-18,gamedev,0.395,7,3
app2_00038,cand_06,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-09-10,gamedev,0.45,9,1
app2_00039,cand_05,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-01-11,gamedev,0.354,1,3
app2_00040,cand_05,R1,Senior Unity Developer - Architecture / Tools,HH,screening,1,2024-10-24,gamedev,0.234,10,3
app2_00041,cand_02,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-06-07,gamedev,0.529,6,4
app2_00042,cand_03,R1,Senior Unity Developer - Architecture / Tools,HH,interview,1,2024-03-24,gamedev,0.59,3,6
app2_00043,cand_01,R1,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-01-03,gamedev,0.408,1,2
app2_00044,cand_06,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-08-30,gamedev,0.269,8,4
app2_00045,cand_02,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-09-23,gamedev,0.442,9,0
app2_00046,cand_06,R1,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-02-10,gamedev,0.319,2,5
app2_00047,cand_01,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-03-30,gamedev,0.478,3,5
app2_00048,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-08-22,gamedev,0.514,8,3
app2_00049,cand_02,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-11-03,gamedev,0.34,11,6
app2_00050,cand_06,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-04-01,gamedev,0.208,4,0
