application_id,candidate_id,resume_id,vacancy_title,platform,status_norm,y_interview,application_date,resume_domain,similarity_resume_vacancy,apply_month,apply_dow
app3_00000,cand_06,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-10-18,gamedev,0.557,10,4
app3_00001,cand_05,R3,Unity Developer - Hypercasual / LiveOps,HH,reject,0,2024-04-25,gamedev,0.65,4,3
app3_00002,cand_05,R2,Unity Developer (WebGL) - Casual Games,InGameJob,ignore,0,2024-11-20,gamedev,0.552,11,2
app3_00003,cand_01,R2,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-07-17,gamedev,0.506,7,2
app3_00004,cand_05,R3,Unity Developer (Middle) - Mobile F2P,HH,interview,1,2024-11-01,gamedev,0.843,11,4
app3_00005,cand_06,R3,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-07-06,gamedev,0.677,7,5
app3_00006,cand_04,R3,Senior Unity Developer - Architecture / Tools,HH,screening,1,2024-06-10,gamedev,0.643,6,0
app3_00007,cand_05,R1,Unity Developer (WebGL) - Casual Games,InGameJob,reject,0,2024-07-08,gamedev,0.341,7,0
app3_00008,cand_02,R2,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-01-29,gamedev,0.635,1,0
app3_00009,cand_03,R3,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-03-15,gamedev,0.59,3,4
app3_00010,cand_02,R3,Senior Unity Developer - VR/AR,LinkedIn,reject,0,2024-12-12,gamedev,0.541,12,3
app3_00011,cand_05,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-10-11,gamedev,0.481,10,4
app3_00012,cand_01,R3,Senior Unity Developer - Multiplayer (Photon),LinkedIn,ignore,0,2024-10-20,gamedev,0.681,10,6
app3_00013,cand_05,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-10-28,gamedev,0.273,10,0
app3_00014,cand_05,R1,Unity Developer (Middle) - Mobile F2P,HH,reject,0,2024-01-25,gamedev,0.686,1,3
app3_00015,cand_01,R2,Senior Unity Developer - VR/AR,LinkedIn,screening,1,2024-07-30,gamedev,0.539,7,1
app3_00016,cand_04,R3,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-06-16,gamedev,0.709,6,6
app3_00017,cand_03,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-03-25,gamedev,0.349,3,0
app3_00018,cand_04,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-02-21,gamedev,0.594,2,2
app3_00019,cand_05,R1,Senior Unity Developer - Multiplayer (Photon),LinkedIn,reject,0,2024-06-20,gamedev,0.142,6,3
app3_00020,cand_03,R1,Unity Developer - Hypercasual / LiveOps,HH,screening,1,2024-09-10,gamedev,0.519,9,1
app3_00021,cand_03,R3,Senior Unity Developer - Architecture / Tools,HH,reject,0,2024-07-12,gamedev,0.699,7,4
app3_00022,cand_05,R1,Senior Unity Developer - VR/AR,LinkedIn,ignore,0,2024-01-24,gamedev,0.23,1,2
app3_00023,cand_04,R3,Unity Developer (WebGL) - Casual Games,InGameJob,screening,1,2024-11-16,gamedev,0.616,11,5
