iter	Logloss
0	0.665705624
1	0.6405810558
2	0.6180462582
3	0.5950456798
4	0.5757726156
5	0.5571958695
6	0.5402649895
7	0.5248262369
8	0.5096553596
9	0.4950867251
10	0.4828394416
11	0.4714691787
12	0.4608203807
13	0.4510213317
14	0.4417554706
15	0.4333072074
16	0.4252228387
17	0.4176172316
18	0.4108487385
19	0.40455843
20	0.3986118821
21	0.3931669695
22	0.3881126899
23	0.3825741537
24	0.3782164779
25	0.3740685101
26	0.3703057957
27	0.3667809979
28	0.3632702311
29	0.3601850571
30	0.3572481654
31	0.3545038011
32	0.3520240987
33	0.3497264204
34	0.3471534904
35	0.3449036683
36	0.3423904273
37	0.3406568239
38	0.3386121716
39	0.3369874491
40	0.3352691793
41	0.3339626614
42	0.3327510631
43	0.3316188264
44	0.3305605522
45	0.329042862
46	0.3277125947
47	0.3263481628
48	0.3245472297
49	0.3234709094
50	0.3227726785
51	0.3219592888
52	0.3211155133
53	0.3205518747
54	0.3200205256
55	0.3194647992
56	0.3189504483
57	0.3185230786
58	0.3181033768
59	0.3175811988
60	0.316774148
61	0.3161747856
62	0.3153612617
63	0.3150705138
64	0.3145823893
65	0.3143356748
66	0.3137161736
67	0.3123867644
68	0.3121911736
69	0.3114540399
70	0.3110595996
71	0.3109017372
72	0.3107536104
73	0.3102123473
74	0.3100829485
75	0.3097440474
76	0.309467207
77	0.3088640691
78	0.3087647888
79	0.3086269121
80	0.3085291331
81	0.3083070708
82	0.308055797
83	0.3079855595
84	0.3079195951
85	0.306819759
86	0.3067639708
87	0.3067115665
88	0.3066623383
89	0.3060964201
90	0.3054235587
91	0.3049067493
92	0.3048601702
93	0.3044476498
94	0.3036108872
95	0.3035840204
96	0.3027093138
97	0.3019754204
98	0.301955284
99	0.3017433625
100	0.3016303281
101	0.3011092858
102	0.3010936274
103	0.3006267224
104	0.3006141008
105	0.3004750598
106	0.3004512008
107	0.2998349419
108	0.2996942406
109	0.2996856946
110	0.2996501522
111	0.2983867994
112	0.2983807952
113	0.2981193924
114	0.297744591
115	0.2974720101
116	0.2969923034
117	0.2964451297
118	0.296105685
119	0.2957530952
120	0.2956666048
121	0.2948822468
122	0.2948084462
123	0.2948013099
124	0.2941968027
125	0.2941924629
126	0.2941911986
127	0.2939484818
128	0.2934830329
129	0.2933047053
130	0.2932323211
131	0.293229285
132	0.2932281209
133	0.292605098
134	0.2918732187
135	0.2913314018
136	0.2908090033
137	0.2903063617
138	0.2901031196
139	0.2897076438
140	0.2892787875
141	0.2892253711
142	0.2889757004
143	0.2889539489
144	0.2885647269
145	0.2884988779
146	0.2878390282
147	0.2873305994
148	0.2872123401
149	0.2870877987
150	0.2866657256
151	0.2863445125
152	0.2859764193
153	0.2857291275
154	0.285725968
155	0.2855145401
156	0.2853547733
157	0.2853546546
158	0.2853505314
159	0.2841066055
160	0.2838024565
161	0.2831219764
162	0.2825157947
163	0.2823658537
164	0.2821090696
165	0.2820208739
166	0.2820205272
167	0.282020201
168	0.2820186312
169	0.2820183418
170	0.2819679469
171	0.2811619549
172	0.2811615749
173	0.2807920132
174	0.2807915931
175	0.2807911972
176	0.2805524521
177	0.2800729254
178	0.2800724435
179	0.2796720388
180	0.2796715427
181	0.2795085645
182	0.2794942169
183	0.2789585818
184	0.2787570476
185	0.2786470654
186	0.2786217234
187	0.2784104676
188	0.2781792738
189	0.27786121
190	0.2774142564
191	0.2774136764
192	0.276851041
193	0.2768503809
