iter	Passed	Remaining
0	148	222968
1	157	117665
2	166	83074
3	175	65675
4	180	54061
5	190	47405
6	197	42025
7	202	37691
8	210	34861
9	220	32850
10	224	30386
11	226	28125
12	232	26569
13	234	24888
14	242	24016
15	244	22715
16	252	22037
17	262	21593
18	266	20750
19	268	19863
20	272	19160
21	275	18514
22	277	17832
23	299	18426
24	307	18128
25	313	17758
26	318	17361
27	322	16931
28	328	16659
29	331	16264
30	335	15916
31	340	15630
32	345	15359
33	347	14986
34	352	14751
35	358	14579
36	368	14567
37	373	14363
38	376	14113
39	381	13930
40	388	13839
41	392	13619
42	394	13363
43	396	13116
44	398	12883
45	404	12789
46	411	12734
47	420	12728
48	429	12719
49	438	12711
50	442	12582
51	449	12511
52	456	12470
53	460	12320
54	463	12176
55	469	12103
56	475	12035
57	477	11871
58	480	11747
59	489	11756
60	498	11762
61	501	11640
62	510	11651
63	517	11600
64	520	11489
65	522	11350
66	531	11361
67	540	11372
68	542	11242
69	550	11253
70	557	11214
71	559	11090
72	561	10970
73	570	10986
74	572	10872
75	577	10811
76	581	10750
77	590	10768
78	593	10683
79	597	10600
80	600	10521
81	607	10512
82	611	10434
83	613	10335
84	615	10239
85	624	10266
86	626	10173
87	628	10084
88	630	9995
89	639	10020
90	648	10037
91	657	10063
92	660	9998
93	669	10017
94	678	10038
95	680	9958
96	689	9978
97	699	10000
98	701	9920
99	709	9938
100	714	9903
101	724	9926
102	729	9888
103	738	9909
104	740	9834
105	746	9814
106	750	9776
107	759	9791
108	764	9754
109	766	9684
110	771	9648
111	779	9665
112	781	9598
113	789	9599
114	795	9582
115	804	9604
116	813	9621
117	823	9640
118	832	9664
119	842	9684
120	845	9637
121	855	9659
122	860	9630
123	864	9592
124	873	9613
125	877	9573
126	880	9516
127	889	9537
128	902	9594
129	911	9603
130	918	9593
131	921	9553
132	925	9516
133	935	9538
134	945	9556
135	955	9583
136	965	9605
137	976	9633
138	985	9649
139	995	9673
140	1005	9691
141	1010	9663
142	1020	9683
143	1026	9668
144	1036	9682
145	1042	9668
146	1051	9682
147	1062	9701
148	1068	9691
149	1075	9679
150	1085	9697
151	1095	9711
152	1104	9725
153	1114	9744
154	1119	9717
155	1129	9733
156	1139	9749
157	1141	9698
158	1147	9680
159	1157	9693
160	1166	9701
161	1175	9711
162	1185	9727
163	1194	9730
164	1204	9746
165	1212	9743
166	1214	9694
167	1216	9645
168	1221	9620
169	1223	9572
170	1231	9569
171	1240	9576
172	1242	9530
173	1251	9536
174	1253	9490
175	1255	9444
176	1264	9451
177	1273	9460
178	1275	9416
179	1285	9424
180	1287	9380
181	1296	9386
182	1299	9352
183	1308	9360
184	1317	9366
185	1326	9371
186	1331	9347
187	1340	9355
188	1349	9361
189	1358	9368
190	1368	9375
191	1370	9333
192	1379	9340
193	1381	9299
194	1390	9304
195	1399	9309
196	1408	9314
197	1412	9290
198	1420	9284
199	1422	9244
200	1430	9247
201	1439	9252
202	1449	9260
203	1456	9254
204	1461	9234
205	1469	9229
206	1478	9232
207	1486	9235
208	1494	9228
209	1506	9254
210	1516	9262
211	1530	9297
212	1540	9305
213	1550	9318
214	1561	9331
215	1566	9311
216	1574	9307
217	1583	9312
218	1593	9322
219	1603	9327
220	1608	9307
221	1611	9279
222	1621	9285
223	1623	9249
224	1633	9254
225	1642	9259
226	1648	9241
227	1650	9205
228	1656	9194
229	1667	9207
230	1672	9189
231	1682	9194
232	1693	9208
233	1702	9213
234	1712	9220
235	1721	9219
236	1727	9208
237	1737	9211
238	1743	9198
239	1751	9194
240	1760	9197
241	1770	9203
242	1779	9206
243	1789	9209
244	1798	9211
245	1807	9212
246	1816	9214
247	1825	9218
248	1835	9220
249	1844	9223
250	1853	9225
251	1856	9191
252	1865	9196
253	1875	9199
254	1884	9200
255	1892	9194
256	1901	9197
257	1911	9201
258	1920	9202
259	1926	9189
260	1935	9189
261	1945	9192
262	1954	9193
263	1963	9194
264	1970	9181
265	1979	9181
266	1988	9181
267	1997	9180
268	2006	9182
269	2015	9181
270	2024	9179
271	2033	9179
272	2040	9172
273	2049	9171
274	2058	9170
275	2067	9170
276	2076	9168
277	2085	9169
278	2095	9169
279	2104	9169
280	2113	9168
281	2122	9167
282	2131	9164
283	2140	9164
284	2149	9162
285	2158	9160
286	2167	9159
287	2176	9159
288	2185	9156
289	2194	9154
290	2203	9155
291	2212	9154
292	2222	9154
293	2231	9152
294	2240	9150
295	2249	9150
296	2258	9148
297	2267	9147
298	2277	9147
299	2286	9147
300	2296	9146
301	2305	9143
302	2314	9142
303	2323	9139
304	2332	9138
305	2341	9136
306	2350	9134
307	2360	9134
308	2369	9132
309	2378	9131
310	2388	9130
311	2397	9127
312	2406	9124
313	2415	9121
314	2424	9119
315	2433	9116
316	2442	9114
317	2451	9112
318	2457	9098
319	2466	9095
320	2475	9092
321	2484	9090
322	2494	9089
