platform,vacancy_title,weight
HH,Unity Developer - Hypercasual / LiveOps,205
HH,Senior Unity Developer - Architecture / Tools,181
HH,Unity Developer (Middle) - Mobile F2P,195
InGameJob,Unity Developer (WebGL) - Casual Games,201
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
HH,Senior Unity Developer - Architecture / Tools,181
InGameJob,Unity Developer (WebGL) - Casual Games,201
HH,Unity Developer (Middle) - Mobile F2P,195
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
HH,Senior Unity Developer - Architecture / Tools,181
HH,Unity Developer (Middle) - Mobile F2P,195
LinkedIn,Senior Unity Developer - VR/AR,207
LinkedIn,Senior Unity Developer - VR/AR,207
LinkedIn,Senior Unity Developer - VR/AR,207
LinkedIn,Senior Unity Developer - VR/AR,207
InGameJob,Unity Developer (WebGL) - Casual Games,201
HH,Unity Developer - Hypercasual / LiveOps,205
LinkedIn,Senior Unity Developer - VR/AR,207
InGameJob,Unity Developer (WebGL) - Casual Games,201
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
LinkedIn,Senior Unity Developer - VR/AR,207
HH,Unity Developer - Hypercasual / LiveOps,205
HH,Unity Developer - Hypercasual / LiveOps,205
HH,Unity Developer (Middle) - Mobile F2P,195
LinkedIn,Senior Unity Developer - VR/AR,207
HH,Unity Developer - Hypercasual / LiveOps,205
InGameJob,Unity Developer (WebGL) - Casual Games,201
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
InGameJob,Unity Developer (WebGL) - Casual Games,201
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
HH,Senior Unity Developer - Architecture / Tools,181
HH,Senior Unity Developer - Architecture / Tools,181
HH,Unity Developer (Middle) - Mobile F2P,195
LinkedIn,Senior Unity Developer - VR/AR,207
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
InGameJob,Unity Developer (WebGL) - Casual Games,201
HH,Unity Developer - Hypercasual / LiveOps,205
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
HH,Unity Developer - Hypercasual / LiveOps,205
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
HH,Senior Unity Developer - Architecture / Tools,181
LinkedIn,Senior Unity Developer - VR/AR,207
InGameJob,Unity Developer (WebGL) - Casual Games,201
LinkedIn,Senior Unity Developer - VR/AR,207
InGameJob,Unity Developer (WebGL) - Casual Games,201
InGameJob,Unity Developer (WebGL) - Casual Games,201
LinkedIn,Senior Unity Developer - VR/AR,207
HH,Senior Unity Developer - Architecture / Tools,181
HH,Unity Developer (Middle) - Mobile F2P,195
HH,Senior Unity Developer - Architecture / Tools,181
HH,Senior Unity Developer - Architecture / Tools,181
InGameJob,Unity Developer (WebGL) - Casual Games,201
HH,Senior Unity Developer - Architecture / Tools,181
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
LinkedIn,Senior Unity Developer - VR/AR,207
LinkedIn,Senior Unity Developer - Multiplayer (Photon),211
LinkedIn,Senior Unity Developer - VR/AR,207
HH,Unity Developer - Hypercasual / LiveOps,205
